"AUXLR168.Code.or.Value","AUXLR168.Value.Description","AUXLR168.Count","AUXLR168.Cumulative","AUXLR168.Skip.to.Item"
"-16 to 58","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
