"WBXF027.Code.or.Value","WBXF027.Value.Description","WBXF027.Count","WBXF027.Cumulative","WBXF027.Skip.to.Item"
"793.7005 to 793.7005","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
