"SSHPVLD.Code.or.Value","SSHPVLD.Value.Description","SSHPVLD.Count","SSHPVLD.Cumulative","SSHPVLD.Skip.to.Item"
"0 to 1658424","Range of Values",766,766,NA
".","Missing",3,769,NA
