"DXXPEA.Code.or.Value","DXXPEA.Value.Description","DXXPEA.Count","DXXPEA.Cumulative","DXXPEA.Skip.to.Item"
"67.56 to 357.37","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
