"WTSPP37.Code.or.Value","WTSPP37.Value.Description","WTSPP37.Count","WTSPP37.Cumulative","WTSPP37.Skip.to.Item"
"0 to 840180.70278","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
