"BPXODI3.Code.or.Value","BPXODI3.Value.Description","BPXODI3.Count","BPXODI3.Cumulative","BPXODI3.Skip.to.Item"
"30 to 129","Range of Values",6094,6094,NA
".","Missing",1038,7132,NA
