"OHQ571Q.Code.or.Value","OHQ571Q.Value.Description","OHQ571Q.Count","OHQ571Q.Cumulative","OHQ571Q.Skip.to.Item"
"0 to 36","Range of Values",235,235,""
"7777","Refused",0,235,"OHQ592"
"9999","Don't know",10,245,"OHQ592"
".","Missing",8652,8897,""
