"LBXII6.Code.or.Value","LBXII6.Value.Description","LBXII6.Count","LBXII6.Cumulative","LBXII6.Skip.to.Item"
"0.25 to 204","Range of Values",8319,8319,NA
".","Missing",1121,9440,NA
