"TYXP185.Code.or.Value","TYXP185.Value.Description","TYXP185.Count","TYXP185.Cumulative","TYXP185.Skip.to.Item"
"-299 to 147","Range of Values",866,866,NA
".","Missing",4719,5585,NA
