"WTSHM17.Code.or.Value","WTSHM17.Value.Description","WTSHM17.Count","WTSHM17.Cumulative","WTSHM17.Skip.to.Item"
"0.0000000 to 745836.1583100","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
