"URDMCOLC.Code.or.Value","URDMCOLC.Value.Description","URDMCOLC.Count","URDMCOLC.Cumulative","URDMCOLC.Skip.to.Item"
"0","At or above detection limit",1228,1228,NA
"1","Below lower detection limit",1534,2762,NA
".","Missing",224,2986,NA
