"RFXT012.Code.or.Value","RFXT012.Value.Description","RFXT012.Count","RFXT012.Cumulative","RFXT012.Skip.to.Item"
"88 to 97","Range of Values",33713,33713,NA
".","Missing",8,33721,NA
