"RFXC080.Code.or.Value","RFXC080.Value.Description","RFXC080.Count","RFXC080.Cumulative","RFXC080.Skip.to.Item"
"-7.553 to 5.171","Range of Values",33696,33696,NA
".","Missing",25,33721,NA
