"LBXDY2.Code.or.Value","LBXDY2.Value.Description","LBXDY2.Count","LBXDY2.Cumulative","LBXDY2.Skip.to.Item"
"1","Sensitive",0,0,NA
"2","Nonsusceptible",0,0,NA
"3","No result",0,0,NA
".","Missing",9179,9179,NA
