"DXXL1BMC.Code.or.Value","DXXL1BMC.Value.Description","DXXL1BMC.Count","DXXL1BMC.Cumulative","DXXL1BMC.Skip.to.Item"
"0 to 34.41","Range of Values",2213,2213,NA
".","Missing",685,2898,NA
