"OPX1ODFP.Code.or.Value","OPX1ODFP.Value.Description","OPX1ODFP.Count","OPX1ODFP.Cumulative","OPX1ODFP.Skip.to.Item"
"0","Test not performed",29,29,NA
"1","0/3",2920,2949,NA
"2","1/3",335,3284,NA
"3","2/3",52,3336,NA
"4","3/3",16,3352,NA
".","Missing",511,3863,NA
