"URXOAV.Code.or.Value","URXOAV.Value.Description","URXOAV.Count","URXOAV.Cumulative","URXOAV.Skip.to.Item"
"34 to 1394","Range of Values",7395,7395,NA
".","Missing",426,7821,NA
