"LBX167LA.Code.or.Value","LBX167LA.Value.Description","LBX167LA.Count","LBX167LA.Cumulative","LBX167LA.Skip.to.Item"
"0.03 to 50.9","Range of Values",1864,1864,NA
".","Missing",421,2285,NA
