"WBXA073.Code.or.Value","WBXA073.Value.Description","WBXA073.Count","WBXA073.Cumulative","WBXA073.Skip.to.Item"
"-0.2868 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
