"WTTFA2YR.Code.or.Value","WTTFA2YR.Value.Description","WTTFA2YR.Count","WTTFA2YR.Cumulative","WTTFA2YR.Skip.to.Item"
"0 to 337218.92036","Range of Values",5423,5423,NA
".","Missing",0,5423,NA
