"DS1TVB2.Code.or.Value","DS1TVB2.Value.Description","DS1TVB2.Count","DS1TVB2.Cumulative","DS1TVB2.Skip.to.Item"
"0.04 to 401.7","Range of Values",1040,1040,NA
".","Missing",7664,8704,NA
