"OHD08LAM.Code.or.Value","OHD08LAM.Value.Description","OHD08LAM.Count","OHD08LAM.Cumulative","OHD08LAM.Skip.to.Item"
"0 to 11","Range of Values",2256,2256,NA
"99","Calculation cannot be determined",258,2514,NA
".","Missing",4204,6718,NA
