"LBDIRNSI.Code.or.Value","LBDIRNSI.Value.Description","LBDIRNSI.Count","LBDIRNSI.Cumulative","LBDIRNSI.Skip.to.Item"
"2 to 86.1","Range of Values",5922,5922,NA
".","Missing",479,6401,NA
