"OSQ140u.Code.or.Value","OSQ140u.Value.Description","OSQ140u.Count","OSQ140u.Cumulative","OSQ140u.Skip.to.Item"
"1","Month",146,146,NA
"2","Year",84,230,NA
"7","Refused",0,230,NA
"9","Don't know",0,230,NA
".","Missing",2839,3069,NA
