"MPD050O.Code.or.Value","MPD050O.Value.Description","MPD050O.Count","MPD050O.Cumulative","MPD050O.Skip.to.Item"
"24","Fingers/thumb - right",667,667,NA
".","Missing",4374,5041,NA
