"LB2SKSI.Code.or.Value","LB2SKSI.Value.Description","LB2SKSI.Count","LB2SKSI.Cumulative","LB2SKSI.Skip.to.Item"
"3.1 to 5.3","Range of Values",544,544,NA
".","Missing",2,546,NA
