"SSML1_N.Code.or.Value","SSML1_N.Value.Description","SSML1_N.Count","SSML1_N.Cumulative","SSML1_N.Skip.to.Item"
"0.19 to 186","Range of Values",1763,1763,NA
".","Missing",15,1778,NA
