"OPDDAGA.Code.or.Value","OPDDAGA.Value.Description","OPDDAGA.Count","OPDDAGA.Cumulative","OPDDAGA.Skip.to.Item"
"0","No",3104,3104,NA
"1","Yes",13,3117,NA
".","Missing",746,3863,NA
