"RHQ600.Code.or.Value","RHQ600.Value.Description","RHQ600.Count","RHQ600.Cumulative","RHQ600.Skip.to.Item"
"1","Yes",1,1,NA
"2","No",4,5,NA
"7","Refused",0,5,NA
"9","Don't know",0,5,NA
".","Missing",3293,3298,NA
