"INQ300.Code.or.Value","INQ300.Value.Description","INQ300.Count","INQ300.Cumulative","INQ300.Skip.to.Item"
"1","Yes",2321,2321,"INQ320"
"2","No",6052,8373,""
"7","Refused",113,8486,"INQ320"
"9","Don't know",115,8601,"INQ320"
".","Missing",653,9254,""
