"LBCBR8.Code.or.Value","LBCBR8.Value.Description","LBCBR8.Count","LBCBR8.Cumulative","LBCBR8.Skip.to.Item"
"0.9192 to 18.54","Range of Values",265,265,NA
".","Missing",0,265,NA
