"LBDPCT.Code.or.Value","LBDPCT.Value.Description","LBDPCT.Count","LBDPCT.Cumulative","LBDPCT.Skip.to.Item"
"2 to 92","Range of Values",5893,5893,NA
".","Missing",508,6401,NA
