"CSXSOAOD.Code.or.Value","CSXSOAOD.Value.Description","CSXSOAOD.Count","CSXSOAOD.Cumulative","CSXSOAOD.Skip.to.Item"
"1","Soap",3250,3250,NA
"2","Black Pepper",99,3349,NA
"3","Leather",101,3450,NA
"4","Peanut",70,3520,NA
".","Missing",188,3708,NA
