"OPDDARM.Code.or.Value","OPDDARM.Value.Description","OPDDARM.Count","OPDDARM.Cumulative","OPDDARM.Skip.to.Item"
"0","No ARM",2881,2881,NA
"1","Early ARM",165,3046,NA
"2","Late ARM",20,3066,NA
".","Missing",797,3863,NA
