"LBDPFOSL.Code.or.Value","LBDPFOSL.Value.Description","LBDPFOSL.Count","LBDPFOSL.Cumulative","LBDPFOSL.Skip.to.Item"
"0","At or above the detection limit",1897,1897,NA
"1","Below lower detection limit",7,1904,NA
".","Missing",273,2177,NA
