"LBDVC1LC.Code.or.Value","LBDVC1LC.Value.Description","LBDVC1LC.Count","LBDVC1LC.Cumulative","LBDVC1LC.Skip.to.Item"
"0","At or above the detection limit",4343,4343,NA
"1","Below lower detection limit",0,4343,NA
".","Missing",1300,5643,NA
