"DX2LRA.Code.or.Value","DX2LRA.Value.Description","DX2LRA.Count","DX2LRA.Cumulative","DX2LRA.Skip.to.Item"
"74.28 to 184.86","Range of Values",443,443,NA
".","Missing",42,485,NA
