"SLD010H.Code.or.Value","SLD010H.Value.Description","SLD010H.Count","SLD010H.Cumulative","SLD010H.Skip.to.Item"
"2 to 11","Range of Values",6408,6408,NA
"12","12 hours or more",46,6454,NA
"77","Refused",0,6454,NA
"99","Don't know",7,6461,NA
".","Missing",3,6464,NA
