"DEABACK.Code.or.Value","DEABACK.Value.Description","DEABACK.Count","DEABACK.Cumulative","DEABACK.Skip.to.Item"
"1","Captured",2693,2693,NA
"2","Not Captured",6,2699,NA
".","Missing",293,2992,NA
