"LBXF06.Code.or.Value","LBXF06.Value.Description","LBXF06.Count","LBXF06.Cumulative","LBXF06.Skip.to.Item"
"5.37 to 162.7","Range of Values",1864,1864,NA
".","Missing",421,2285,NA
