"WBXP057.Code.or.Value","WBXP057.Value.Description","WBXP057.Count","WBXP057.Cumulative","WBXP057.Skip.to.Item"
"-170.5028 to 155.194","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
