"LBXNR1.Code.or.Value","LBXNR1.Value.Description","LBXNR1.Count","LBXNR1.Cumulative","LBXNR1.Skip.to.Item"
"31.1 to 215","Range of Values",4025,4025,NA
".","Missing",1618,5643,NA
