"LBXS06MK.Code.or.Value","LBXS06MK.Value.Description","LBXS06MK.Count","LBXS06MK.Cumulative","LBXS06MK.Skip.to.Item"
"1 to 2","Range of Values",3523,3523,NA
".","Missing",323,3846,NA
