"BPD130.Code.or.Value","BPD130.Value.Description","BPD130.Count","BPD130.Cumulative","BPD130.Skip.to.Item"
"1","Yes",233,233,NA
"2","No",450,683,NA
"7","Refused",0,683,NA
"9","Don't know",1,684,NA
".","Missing",5529,6213,NA
