"ARQ023QD.Code.or.Value","ARQ023QD.Value.Description","ARQ023QD.Count","ARQ023QD.Cumulative","ARQ023QD.Skip.to.Item"
"19 to 68","Range of Values",121,121,NA
"777","Refused",0,121,NA
"999","Don't know",0,121,NA
".","Missing",4985,5106,NA
