"LBXBPB.Code.or.Value","LBXBPB.Value.Description","LBXBPB.Count","LBXBPB.Cumulative","LBXBPB.Skip.to.Item"
"0.05 to 42.48","Range of Values",6884,6884,NA
".","Missing",1482,8366,NA
