"CVAARM.Code.or.Value","CVAARM.Value.Description","CVAARM.Count","CVAARM.Cumulative","CVAARM.Skip.to.Item"
"1","Right",3197,3197,NA
"2","Left",15,3212,NA
"3","Could not obtain",0,3212,NA
".","Missing",1451,4663,NA
