"WBXA011.Code.or.Value","WBXA011.Value.Description","WBXA011.Count","WBXA011.Cumulative","WBXA011.Skip.to.Item"
"-4.3242 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
