"CSQ470.Code.or.Value","CSQ470.Value.Description","CSQ470.Count","CSQ470.Cumulative","CSQ470.Skip.to.Item"
"0 to 100","Range of Values",3412,3412,NA
".","Missing",296,3708,NA
