"MCQ170H.Code.or.Value","MCQ170H.Value.Description","MCQ170H.Count","MCQ170H.Cumulative","MCQ170H.Skip.to.Item"
"1","Yes",15,15,"MCQ180H"
"2","No",44,59,"MCQ180H"
"7","Refused",0,59,"MCQ180H"
"9","Don't know",2,61,"MCQ180H"
".","Missing",9432,9493,""
