"DXXCRUDE.Code.or.Value","DXXCRUDE.Value.Description","DXXCRUDE.Count","DXXCRUDE.Cumulative","DXXCRUDE.Skip.to.Item"
"-0.434 to 0.414","Range of Values",3245,3245,NA
".","Missing",463,3708,NA
