"WBXA097.Code.or.Value","WBXA097.Value.Description","WBXA097.Count","WBXA097.Cumulative","WBXA097.Skip.to.Item"
"-39.3104 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
