"SSNUDOTP.Code.or.Value","SSNUDOTP.Value.Description","SSNUDOTP.Count","SSNUDOTP.Cumulative","SSNUDOTP.Skip.to.Item"
"0 to 1","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
