"LBXSD1.Code.or.Value","LBXSD1.Value.Description","LBXSD1.Count","LBXSD1.Cumulative","LBXSD1.Skip.to.Item"
"0.17 to 104","Range of Values",3866,3866,NA
".","Missing",1777,5643,NA
