"WTMREP10.Code.or.Value","WTMREP10.Value.Description","WTMREP10.Count","WTMREP10.Cumulative","WTMREP10.Skip.to.Item"
"0 to 264325.82084","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
