"LB2B12SI.Code.or.Value","LB2B12SI.Value.Description","LB2B12SI.Count","LB2B12SI.Cumulative","LB2B12SI.Skip.to.Item"
"100.37 to 33836.56","Range of Values",546,546,NA
".","Missing",5,551,NA
