"LB2THGSI.Code.or.Value","LB2THGSI.Value.Description","LB2THGSI.Count","LB2THGSI.Cumulative","LB2THGSI.Skip.to.Item"
"1.5 to 3.99","Range of Values",7,7,NA
".","Missing",544,551,NA
