"WBXP004.Code.or.Value","WBXP004.Value.Description","WBXP004.Count","WBXP004.Cumulative","WBXP004.Skip.to.Item"
"-98.159 to 143.1439","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
