"SSDCPL.Code.or.Value","SSDCPL.Value.Description","SSDCPL.Count","SSDCPL.Cumulative","SSDCPL.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2430,2430,NA
".","Missing",0,2430,NA
