"PUD071.Code.or.Value","PUD071.Value.Description","PUD071.Count","PUD071.Cumulative","PUD071.Skip.to.Item"
"1","Yes",875,875,NA
"2","No",407,1282,NA
".","Missing",8840,10122,NA
