"TYXP215.Code.or.Value","TYXP215.Value.Description","TYXP215.Count","TYXP215.Cumulative","TYXP215.Skip.to.Item"
"-299 to 183","Range of Values",234,234,NA
".","Missing",5351,5585,NA
