"MCQ250B.Code.or.Value","MCQ250B.Value.Description","MCQ250B.Count","MCQ250B.Cumulative","MCQ250B.Skip.to.Item"
"1","Yes",655,655,"MCQ260BA"
"2","No",4272,4927,""
"7","Refused",0,4927,""
"9","Don't know",113,5040,""
".","Missing",4605,9645,""
