"URDUABLC.Code.or.Value","URDUABLC.Value.Description","URDUABLC.Count","URDUABLC.Cumulative","URDUABLC.Skip.to.Item"
"0","At or above the detection limit",1101,1101,NA
"1","Below lower detection limit",1724,2825,NA
".","Missing",154,2979,NA
