"PAQ759i.Code.or.Value","PAQ759i.Value.Description","PAQ759i.Count","PAQ759i.Cumulative","PAQ759i.Skip.to.Item"
"9","LACROSSE",13,13,NA
".","Missing",9242,9255,NA
